                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.2206,                 1.1843,                0.99947,                0.98472,                      1,                  0.995,                0.55919,                   1.29,                 1.0568,                0.96587,               0.004159,               0.004159,               0.004159
                     61,                 1.3112,                 1.1402,                 1.0323,                0.93593,                0.96154,                 0.9363,                0.52697,                 1.3059,                   1.07,                0.97773,                0.00406,                0.00406,                0.00406
                     62,                 1.2138,                 1.1122,                 1.0109,                0.93593,                0.96154,                 0.9363,                0.52697,                 1.3059,                   1.07,                0.97773,               0.003961,               0.003961,               0.003961
                     63,                 1.1743,                 1.0982,                  1.004,                0.94531,                0.96154,                0.93629,                0.51376,                 1.2509,                 1.1358,                0.97534,               0.003862,               0.003862,               0.003862
                     64,                 1.2433,                 1.1612,                 1.0459,                0.97593,                      1,                  0.995,                0.53882,                 1.2439,                 1.1962,                 0.9694,               0.003763,               0.003763,               0.003763
                     65,                 1.2791,                 1.1901,                 1.0589,                 0.9802,                      1,                  0.995,                0.53589,                 1.2698,                    1.1,                0.94698,               0.003664,               0.003664,               0.003664
                     66,                 1.2607,                  1.164,                  1.042,                 0.9802,                      1,                  0.995,                0.53589,                 1.2698,                    1.1,                0.94698,               0.003565,               0.003565,               0.003565
                     67,                 1.1319,                 1.0583,                0.96002,                0.97137,                      1,                  0.995,                 0.5664,                 1.2189,                 1.1302,                0.95183,               0.003466,               0.003466,               0.003466
                     68,                 1.2293,                 1.1673,                 1.0051,                0.96961,                0.99875,                  0.995,                0.56724,                 1.2012,                 1.1058,                0.93261,               0.003367,               0.003367,               0.003367
                     69,                 1.3241,                 1.1659,                 1.0077,                0.94265,                0.96154,                0.93629,                0.54305,                  1.236,                 1.0863,                0.91663,               0.003268,               0.003268,               0.003268
                     70,                 1.2556,                 1.1333,                 1.0209,                0.94265,                0.96154,                0.93629,                0.54305,                  1.236,                 1.0863,                0.91663,               0.003169,               0.003169,               0.003169
                     71,                 1.1988,                 1.0463,                0.98415,                0.98684,                0.98737,                  0.995,                0.56734,                 1.2383,                 1.1291,                0.91368,                0.00307,                0.00307,                0.00307
                     72,                 1.1755,                 1.0918,                 1.0303,                0.99009,                      1,                  0.995,                0.56822,                 1.1995,                 1.1709,                0.90855,               0.002971,               0.002971,               0.002971
                     73,                 1.2253,                 1.0892,                 1.0353,                0.99049,                      1,                  0.995,                0.55714,                 1.2047,                 1.0382,                0.90557,               0.002872,               0.002872,               0.002872
                     74,                 1.1451,                 1.0552,                0.97351,                0.99049,                      1,                  0.995,                0.55714,                 1.2047,                 1.0382,                0.90557,               0.002773,               0.002773,               0.002773
                     75,                 1.1678,                0.98547,                0.96017,                0.95223,                0.96154,                 0.9363,                0.51641,                 1.2087,                0.99975,                0.90685,               0.002674,               0.002674,               0.002674
                     76,                 1.2317,                 1.0572,                 0.9905,                0.98403,                      1,                  0.995,                0.53724,                 1.1972,                0.96761,                0.90461,               0.002575,               0.002575,               0.002575
                     77,                 1.1784,                 1.0902,                 1.0227,                0.98111,                      1,                  0.995,                0.55451,                 1.2082,                0.94722,                0.91461,               0.002476,               0.002476,               0.002476
                     78,                 1.1702,                  1.036,                  0.997,                0.98111,                      1,                  0.995,                0.55451,                 1.2082,                0.94722,                0.91461,               0.002377,               0.002377,               0.002377
                     79,                 1.2096,                 1.0144,                 1.0063,                0.98225,                      1,                  0.995,                0.54837,                    1.2,                0.98025,                 0.9264,               0.002278,               0.002278,               0.002278
                     80,                 1.1897,                 1.0259,                 1.0065,                0.98738,                      1,                  0.995,                0.54323,                 1.2409,                 1.0135,                0.93532,               0.002179,               0.002179,               0.002179
                     81,                 1.1425,                 1.0452,                0.99932,                0.99228,                      1,                  0.995,                0.55473,                 1.2434,                 1.0474,                0.93748,                0.00208,                0.00208,                0.00208
                     82,                 1.1914,                 1.0228,                  1.033,                0.99228,                      1,                  0.995,                0.55473,                 1.2434,                 1.0474,                0.93748,               0.001981,               0.001981,               0.001981
                     83,                 1.1156,                  1.019,                  0.963,                0.99134,                      1,                  0.995,                0.56409,                 1.2489,                 1.0367,                0.94573,               0.001882,               0.001882,               0.001882
                     84,                  1.216,                 1.0712,                  1.018,                0.99181,                      1,                  0.995,                0.55081,                 1.2851,                 1.0452,                0.95111,               0.001783,               0.001783,               0.001783
                     85,                 1.2004,                 1.0329,                 1.0425,                0.99469,                      1,                  0.995,                0.54744,                 1.3042,                 1.0133,                0.95557,               0.001684,               0.001684,               0.001684
                     86,                 1.2041,                0.99919,                 1.0391,                0.99469,                      1,                  0.995,                0.54744,                 1.3042,                 1.0133,                0.95557,               0.001585,               0.001585,               0.001585
                     87,                 1.1462,                 1.0031,                0.97146,                0.99503,                      1,                  0.995,                0.53988,                 1.3031,                 1.0009,                0.95402,               0.001486,               0.001486,               0.001486
                     88,                 1.1858,                 0.9906,                 1.0115,                0.99414,                      1,                  0.995,                0.54648,                 1.3039,                 1.0119,                0.95823,               0.001387,               0.001387,               0.001387
                     89,                 1.1269,                0.98698,                0.97833,                0.99163,                      1,                  0.995,                0.56081,                 1.2931,                0.99987,                0.95784,               0.001288,               0.001288,               0.001288
                     90,                 1.1586,                 1.0099,                0.99149,                0.99163,                      1,                  0.995,                0.56081,                 1.2931,                0.99987,                0.95784,               0.001189,               0.001189,               0.001189
                     91,                 1.1049,                 1.0223,                0.96394,                0.99256,                      1,                  0.995,                0.58144,                 1.2771,                0.98253,                0.94951,                0.00109,                0.00109,                0.00109
                     92,                 1.0762,                0.97073,                0.95837,                0.99269,                      1,                  0.995,                0.57038,                 1.2805,                0.97813,                0.94765,               0.000991,               0.000991,               0.000991
                     93,                 1.1164,                0.98976,                 0.9792,                 0.9948,                      1,                  0.995,                0.56564,                 1.2904,                0.98328,                0.94489,               0.000892,               0.000892,               0.000892
                     94,                 1.0734,                 1.0499,                0.96338,                 0.9948,                      1,                  0.995,                0.56564,                 1.2904,                0.98328,                0.94489,               0.000793,               0.000793,               0.000793
                     95,                 1.1126,                0.98365,                0.97222,                0.99509,                      1,                  0.995,                0.56678,                 1.2919,                0.99299,                0.94316,               0.000694,               0.000694,               0.000694
                     96,                 1.0603,                0.99463,                0.95569,                 0.9948,                      1,                  0.995,                0.56702,                  1.314,                0.99688,                0.94284,               0.000595,               0.000595,               0.000595
                     97,                 1.0488,                0.98668,                0.95699,                0.99391,                      1,                  0.995,                 0.5544,                  1.314,                 1.0026,                0.94377,               0.000496,               0.000496,               0.000496
                     98,                 1.0791,                  1.009,                0.92032,                0.99391,                      1,                  0.995,                 0.5544,                  1.314,                 1.0026,                0.94377,               0.000397,               0.000397,               0.000397
                     99,                 1.0404,                0.99487,                0.94206,                  0.993,                      1,                  0.995,                 0.5544,                 1.3156,                0.99742,                0.94378,               0.000298,               0.000298,               0.000298
